L(T-168),L(T)
6319.99872,8080.35156
5986.72728,7907.32476
5623.371,7577.01504
5935.9104,7192.92672
5708.94912,6756.46272
5692.58172,6250.16448
5484.94956,5900.8374
5447.07072,5830.37964
5534.36352,5900.8374
5586.7392,5971.29516
5866.07616,6059.36736
7336.33632,7578.8856
6634.2528,7098.7752
6529.50144,5892.264
6211.66212,6490.53144
6471.20232,6456.5496
6038.63532,5369.13072
5778.78336,5131.25784
5727.18708,5058.306
5604.19776,5058.306
5727.18708,6354.60408
6232.70592,6966.2772
7249.82292,7781.84136
7993.83816,8518.53024
7699.6926,8501.6952
7262.76096,8325.5508
6878.67264,7665.08724
6886.46664,7227.84384
6903.76932,6808.8384
5952.12192,6217.89732
5865.60852,5813.70048
5831.00316,5513.31972
6055.938,5460.4764
6194.35944,5654.23524
5675.27904,6446.88504
5761.79244,7315.13664
6779.37708,7646.84928
5793.90372,6762.38616
5827.88556,6728.40432
5759.92188,6558.49512
5726.40768,5229.774
5604.19776,5058.306
5726.40768,5125.80204
5691.49056,5104.2906
5324.8608,4259.88864
5656.57344,3581.65476
7315.13664,4818.2508
6927.3072,3532.2408
6851.86128,8573.4
6546.96,8053.69608
5866.07616,7664.6196
5639.11488,6995.8944
5342.31936,6481.4904
5225.40936,6110.496
5260.01472,5796.24192
5606.06832,5516.90496
5623.371,5401.242
5536.8576,5572.71
5420.10348,6344.316
6439.55868,7525.26288
6694.42248,7323.2424
6303.63132,8053.69608
4927.3668,8087.67792
4308.36732,5165.23968
4155.13728,5281.2144
5656.57344,5161.1868
5656.57344,5377.23648
3805.96608,5255.02656
5639.11488,5324.8608
5656.57344,7197.91488
6215.24736,8357.19444
5831.15904,8668.64268
6218.67672,8607.6936
5827.88556,8281.9044
5488.06716,7595.87652
5311.92276,7221.9204
5086.98792,6482.11392
5062.9824,5953.36896
4808.74212,5761.3248
4614.98328,5830.37964
4315.5378,5615.42112
4474.06776,5830.37964
4801.104,6162.87168
5342.31936,7028.16156
5813.70048,7227.84384
5725.94004,6961.6008
5199.22152,6910.1604
5841.75888,8325.5508
5993.27424,6813.35892
6262.63488,8401.932
5976.4392,8487.666
5759.92188,8487.666
5349.8016,6550.0776
5538.4164,6473.54052
5761.3248,6515.784
7373.74752,8436.2256
7577.95032,8547.52392
7238.13192,7976.53548
6881.3226,8624.52864
6541.5042,7210.38528
5606.06832,6826.29696
5381.13348,6197.7888
5185.19232,5936.06628
4949.65764,5846.43528
4914.42876,6023.2032
4965.86916,5988.59784
5208.10668,6459.6672
6001.38,7769.0592
6936.03648,7645.914
